Country,2006 koe/$05p,2007 koe/$05p,2008 koe/$05p,2009 koe/$05p
World,0.2,0.2,0.19,0.19
OECD,0.15,0.15,0.15,0.15
Europe,0.13,0.13,0.12,0.12
EU-27,0.13,0.13,0.12,0.12
Belgium,0.17,0.16,0.16,0.15
Spain,0.12,0.11,0.11,0.11
Finland,0.22,0.21,0.2,0.2
France,0.14,0.14,0.14,0.13
United Kingdom,0.11,0.1,0.1,0.1
Italy,0.11,0.1,0.11,0.1
Netherlands,0.13,0.13,0.13,0.13
Norway,0.13,0.12,0.12,0.12
Poland,0.18,0.17,0.16,0.15
Portugal,0.11,0.11,0.11,0.11
Czech Republic,0.21,0.19,0.19,0.19
Germany,0.13,0.12,0.12,0.12
Romania,0.18,0.17,0.15,0.14
Sweden,0.17,0.16,0.16,0.15
Turkey,0.11,0.12,0.11,0.11
North America,0.19,0.18,0.18,0.18
Canada,0.23,0.23,0.22,0.21
United States,0.18,0.18,0.18,0.17
CIS,0.39,0.36,0.35,0.35
Kazakhstan,0.44,0.42,0.43,0.45
Russia,0.37,0.34,0.33,0.32
Ukraine,0.49,0.45,0.43,0.44
Uzbekistan,0.87,0.8,0.76,0.73
Latin America,0.14,0.14,0.14,0.14
Mexico,0.13,0.13,0.13,0.14
Brazil,0.14,0.14,0.13,0.13
Argentina,0.15,0.15,0.14,0.14
Venezuela,0.22,0.21,0.2,0.21
Chile,0.15,0.14,0.14,0.14
Colombia,0.09,0.08,0.08,0.09
Asia,0.23,0.22,0.22,0.22
China,0.32,0.3,0.28,0.28
Japan,0.13,0.13,0.13,0.12
India,0.21,0.2,0.2,0.2
South Korea,0.19,0.19,0.19,0.19
Taiwan,0.29,0.28,0.27,0.28
Thailand,0.23,0.22,0.22,0.23
Indonesia,0.24,0.24,0.24,0.24
Malaysia,0.21,0.22,0.21,0.22
Australasia,0.18,0.18,0.18,0.18
Australia,0.18,0.18,0.18,0.18
New Zealand,0.17,0.16,0.16,0.17
Africa,0.26,0.25,0.25,0.25
South Africa,0.31,0.31,0.31,0.31
Nigeria,0.4,0.39,0.38,0.36
Egypt,0.18,0.18,0.18,0.18
Algeria,0.14,0.15,0.15,0.16
Middle-East,0.26,0.26,0.26,0.26
Saudi Arabia,0.29,0.29,0.3,0.32
Iran,0.25,0.25,0.25,0.24
United Arab Emirates,0.21,0.22,0.24,0.25
Kuwait,0.21,0.21,0.21,0.24
