Location,Renew.,Hydro,Wind,Solar,Bio.,Geo.,Year
World,30.0,14.0,8.0,6.0,2.0,0.3,2023
Albania,100.0,97.0,0.0,3.0,0.0,0.0,2023
Bhutan,100.0,100.0,0.0,0.0,0.0,0.0,2023
Central African Republic,100.0,100.0,0.0,0.0,0.0,0.0,2023
DR Congo,100.0,86.0,0.0,14.0,0.2,0.0,2023
Ethiopia,100.0,96.0,3.0,0.2,0.05,0.2,2023
Lesotho,100.0,100.0,0.0,0.0,0.0,0.0,2023
Nepal,100.0,99.0,0.09,0.9,0.0,0.0,2023
Paraguay,100.0,99.0,0.0,0.0,0.5,0.0,2023
Iceland,100.0,70.0,0.05,0.0,0.0,30.0,2023
Costa Rica,100.0,73.0,13.0,0.7,0.5,13.0,2023
Norway,99.0,89.0,10.0,0.0,0.2,0.01,2023
Namibia,98.0,70.0,1.0,27.0,0.0,0.0,2023
Uganda,97.0,87.0,0.0,3.0,8.0,0.0,2023
Eswatini,96.0,54.0,0.0,5.0,38.0,0.0,2023
Malawi,96.0,92.0,0.0,0.6,3.0,0.0,2023
Sierra Leone,95.0,86.0,0.0,10.0,0.0,0.0,2023
Tajikistan,93.0,93.0,0.0,0.0,0.0,0.0,2023
Uruguay,92.0,27.0,37.0,4.0,24.0,0.0,2023
El Salvador,91.0,31.0,2.0,19.0,14.0,24.0,2023
Kenya,90.0,21.0,16.0,5.0,2.0,47.0,2023
Luxembourg,89.0,6.0,35.0,21.0,27.0,0.0,2023
Zambia,89.0,88.0,0.0,0.8,0.4,0.0,2023
Brazil,89.0,60.0,13.0,7.0,8.0,0.0,2023
Belize,89.0,53.0,0.0,2.0,33.0,0.0,2023
New Zealand,88.0,60.0,8.0,0.8,2.0,18.0,2023
Greenland,87.0,87.0,0.0,0.0,0.0,0.0,2023
Denmark,87.0,0.06,58.0,10.0,19.0,0.0,2023
Afghanistan,87.0,77.0,0.0,9.0,0.0,0.0,2023
Kyrgyzstan,86.0,86.0,0.0,0.0,0.0,0.0,2023
Austria,85.0,58.0,11.0,9.0,6.0,0.0,2023
Lithuania,84.0,9.0,48.0,13.0,14.0,0.0,2023
Mozambique,84.0,83.0,0.0,0.4,0.7,0.0,2023
Venezuela,78.0,78.0,0.02,0.01,0.0,0.0,2023
Latvia,78.0,60.0,4.0,4.0,10.0,0.0,2023
Ecuador,77.0,75.0,0.2,0.1,1.0,0.0,2023
Laos,77.0,76.0,0.0,0.1,0.08,0.0,2023
Angola,76.0,74.0,0.0,2.0,0.3,0.0,2023
Georgia,76.0,75.0,0.6,0.0,0.0,0.0,2023
Guinea,75.0,74.0,0.0,0.7,0.0,0.0,2023
Guatemala,75.0,42.0,3.0,2.0,26.0,3.0,2023
Portugal,75.0,26.0,29.0,11.0,8.0,0.4,2023
French Guiana,71.0,61.0,0.0,5.0,5.0,0.0,2022
Sudan,70.0,69.0,0.0,0.8,0.7,0.0,2023
Croatia,70.0,47.0,14.0,2.0,6.0,0.1,2023
Sweden,69.0,40.0,21.0,2.0,7.0,0.0,2023
Burundi,69.0,67.0,0.0,0.0,3.0,0.0,2023
Zimbabwe,68.0,66.0,0.0,0.4,1.0,0.0,2023
Canada,67.0,58.0,6.0,1.0,2.0,0.0,2023
Colombia,66.0,62.0,0.07,1.0,3.0,0.0,2023
Chile,65.0,30.0,11.0,19.0,4.0,0.5,2023
Nicaragua,65.0,15.0,13.0,0.7,20.0,16.0,2023
Cameroon,64.0,63.0,0.0,0.2,0.5,0.0,2023
Fiji,63.0,52.0,0.0,0.9,10.0,0.0,2023
North Korea,63.0,63.0,0.0,0.6,0.0,0.0,2023
Switzerland,63.0,55.0,0.2,6.0,0.0,0.0,2023
Panama,62.0,48.0,7.0,7.0,0.3,0.0,2023
Honduras,62.0,33.0,6.0,9.0,11.0,3.0,2023
Montenegro,60.0,52.0,8.0,0.0,0.0,0.0,2023
Rwanda,57.0,53.0,0.0,4.0,0.0,0.0,2023
Peru,55.0,50.0,3.0,1.0,1.0,0.0,2023
Germany,53.0,4.0,28.0,12.0,9.0,0.04,2023
Spain,51.0,9.0,23.0,17.0,2.0,0.0,2023
Finland,51.0,19.0,18.0,0.9,14.0,0.0,2023
Cook Islands,50.0,0.0,0.0,50.0,0.0,0.0,2023
Romania,50.0,32.0,13.0,4.0,0.8,0.0,2023
Greece,50.0,8.0,22.0,18.0,1.0,0.0,2023
Estonia,49.0,0.5,13.0,12.0,24.0,0.0,2023
Gabon,48.0,48.0,0.0,0.0,0.3,0.0,2023
Lebanon,47.0,15.0,0.2,31.0,0.7,0.0,2023
United Kingdom,47.0,2.0,29.0,5.0,12.0,0.0,2023
Netherlands,47.0,0.06,24.0,16.0,6.0,0.0,2023
Faroe Islands,46.0,27.0,19.0,0.0,0.0,0.0,2023
Ireland,45.0,3.0,37.0,2.0,3.0,0.0,2023
Italy,45.0,16.0,9.0,12.0,6.0,2.0,2023
Cambodia,45.0,39.0,0.0,6.0,0.07,0.0,2023
Suriname,43.0,42.0,0.0,0.5,0.5,0.0,2023
Vietnam,43.0,29.0,4.0,9.0,0.3,0.0,2023
Mali,43.0,38.0,0.0,3.0,2.0,0.0,2023
Turkey,42.0,20.0,11.0,6.0,3.0,3.0,2023
Macau,41.0,0.0,0.0,0.0,41.0,0.0,2023
Slovenia,41.0,32.0,0.06,6.0,2.0,0.0,2023
Bosnia and Herzegovina,40.0,37.0,2.0,1.0,0.2,0.0,2023
Samoa,40.0,20.0,0.0,13.0,7.0,0.0,2023
Ghana,39.0,38.0,0.0,0.6,0.08,0.0,2023
Myanmar,38.0,37.0,0.0,0.4,1.0,0.0,2023
Madagascar,35.0,31.0,0.0,3.0,1.0,0.0,2023
Serbia,35.0,32.0,2.0,0.05,0.7,0.0,2023
Bolivia,35.0,25.0,4.0,3.0,4.0,0.0,2023
Djibouti,35.0,0.0,35.0,0.0,0.0,0.0,2023
Australia,35.0,6.0,12.0,16.0,1.0,0.0,2023
Guadeloupe,35.0,0.6,7.0,7.0,15.0,6.0,2022
Réunion,34.0,19.0,0.0,8.0,7.0,0.0,2022
Argentina,34.0,20.0,10.0,2.0,2.0,0.0,2023
French Polynesia,34.0,27.0,0.0,7.0,0.0,0.0,2023
North Macedonia,34.0,23.0,2.0,6.0,2.0,0.0,2023
Palestine,0.0,0.0,0.0,0.0,0.0,0.0,2023
Liberia,33.0,33.0,0.0,0.0,0.0,0.0,2023
Belgium,33.0,0.5,19.0,10.0,5.0,0.0,2023
Equatorial Guinea,31.0,31.0,0.0,0.0,0.0,0.0,2023
Ivory Coast,31.0,30.0,0.0,0.2,0.8,0.0,2023
China,31.0,13.0,9.0,6.0,2.0,0.0,2023
Cape Verde,28.0,0.0,14.0,14.0,0.0,0.0,2023
Armenia,28.0,19.0,0.0,9.0,0.0,0.0,2023
Mauritania,27.0,13.0,6.0,9.0,0.0,0.0,2023
Poland,27.0,1.0,14.0,7.0,5.0,0.0,2023
France,27.0,11.0,9.0,4.0,2.0,0.1,2023
Hungary,26.0,0.6,2.0,20.0,4.0,0.06,2023
New Caledonia,26.0,17.0,1.0,7.0,0.0,0.0,2023
Martinique,26.0,0.0,3.0,6.0,17.0,0.7,2022
Tanzania,26.0,25.0,0.0,0.3,0.6,0.0,2023
Pakistan,25.0,20.0,4.0,0.7,1.0,0.0,2023
Bulgaria,25.0,8.0,4.0,9.0,5.0,0.0,2023
Kiribati,25.0,0.0,0.0,25.0,0.0,0.0,2023
Vanuatu,25.0,12.0,0.0,12.0,0.0,0.0,2023
Papua New Guinea,24.0,21.0,0.0,0.2,0.2,2.0,2023
Jordan,23.0,0.09,8.0,15.0,0.0,0.0,2023
Nigeria,23.0,23.0,0.0,0.2,0.1,0.0,2023
Slovakia,23.0,16.0,0.0,2.0,5.0,0.0,2023
United States,23.0,6.0,10.0,6.0,1.0,0.4,2023
Philippines,22.0,9.0,0.9,2.0,1.0,9.0,2023
Japan,22.0,7.0,1.0,10.0,4.0,0.0,2023
Senegal,22.0,4.0,9.0,7.0,1.0,0.0,2023
Morocco,22.0,1.0,15.0,5.0,0.09,0.0,2023
Mexico,21.0,6.0,6.0,8.0,2.0,0.0,2023
Congo,21.0,20.0,0.0,0.2,0.2,0.0,2023
Togo,21.0,9.0,0.0,12.0,0.0,0.0,2023
Cyprus,20.0,0.0,4.0,16.0,0.9,0.0,2023
India,20.0,7.6,4.0,6.5,1.7,0.0,2024
Malaysia,19.0,17.0,0.0,2.0,0.7,0.0,2023
Somalia,19.0,0.0,2.0,17.0,0.0,0.0,2023
Haiti,19.0,19.0,0.0,0.0,0.0,0.0,2023
Indonesia,19.0,7.0,0.1,0.2,6.0,5.0,2023
Russia,18.0,17.0,0.4,0.2,0.07,0.0,2023
Mauritius,17.0,3.0,0.3,5.0,10.0,0.0,2023
Burkina Faso,17.0,7.0,0.0,5.0,5.0,0.0,2023
Dominican Republic,17.0,6.0,5.0,6.0,0.9,0.0,2023
Aruba,17.0,0.0,14.0,3.0,0.0,0.0,2023
Yemen,17.0,0.0,0.0,17.0,0.0,0.0,2023
Ukraine,17.0,10.0,1.0,5.0,0.7,0.0,2022
Thailand,16.0,3.0,2.0,3.0,7.0,0.0,2023
Czech Republic,15.0,3.0,1.0,4.0,7.0,0.0,2023
Seychelles,14.0,0.0,2.0,13.0,0.0,0.0,2023
Tonga,14.0,0.0,0.0,14.0,0.0,0.0,2023
Malta,14.0,0.0,0.0,13.0,0.4,0.0,2023
Dominica,13.0,13.0,0.0,0.0,0.0,0.0,2023
Saint Vincent and the Grenadines,13.0,13.0,0.0,0.0,0.0,0.0,2023
Jamaica,13.0,3.0,6.0,3.0,1.0,0.0,2023
Kazakhstan,13.0,8.0,3.0,2.0,0.0,0.0,2023
South Africa,13.0,0.7,5.0,7.0,0.2,0.0,2023
Moldova,12.0,6.0,4.0,2.0,0.2,0.0,2023
Kosovo,11.0,8.0,3.0,0.3,0.0,0.0,2023
Eritrea,11.0,0.0,0.0,11.0,0.0,0.0,2023
Egypt,11.0,6.0,3.0,2.0,0.0,0.0,2023
São Tomé and Príncipe,11.0,11.0,0.0,0.0,0.0,0.0,2023
Israel,11.0,0.0,1.0,9.0,0.1,0.0,2023
Mongolia,10.0,0.8,6.0,2.0,0.0,0.0,2023
Uzbekistan,9.0,9.0,0.0,0.6,0.0,0.0,2023
Solomon Islands,9.0,0.0,0.0,9.0,0.0,0.0,2023
South Korea,9.0,0.6,0.6,5.0,3.0,0.0,2023
Taiwan,9.0,1.0,2.0,5.0,0.7,0.0,2023
United Arab Emirates,8.0,0.0,0.03,8.0,0.02,0.0,2023
Barbados,8.0,0.0,0.0,8.0,0.0,0.0,2023
Guam,8.0,0.0,0.0,8.0,0.0,0.0,2023
Maldives,7.0,0.0,0.0,7.0,0.0,0.0,2023
South Sudan,7.0,0.0,0.0,7.0,0.0,0.0,2023
Guyana,7.0,0.0,0.0,1.0,5.0,0.0,2023
Azerbaijan,7.0,6.0,0.3,0.2,0.4,0.0,2023
Iran,6.0,6.0,0.3,0.2,0.01,0.0,2023
Antigua and Barbuda,6.0,0.0,0.0,6.0,0.0,0.0,2023
Puerto Rico,5.0,0.2,0.8,4.0,0.05,0.0,2023
Chad,5.0,0.0,3.0,0.0,3.0,0.0,2023
Cuba,5.0,0.8,0.4,1.0,2.0,0.0,2023
Saint Kitts and Nevis,5.0,0.0,5.0,0.0,0.0,0.0,2023
Singapore,5.0,0.0,0.0,2.0,3.0,0.0,2023
Syria,4.0,4.0,0.0,0.5,0.1,0.0,2023
Oman,4.0,0.0,0.3,4.0,0.0,0.0,2023
Tunisia,4.0,0.05,2.0,2.0,0.0,0.0,2023
Belarus,3.0,0.9,0.4,0.5,1.0,0.0,2023
Benin,3.0,0.0,0.0,3.0,0.0,0.0,2023
U.S. Virgin Islands,3.0,0.0,0.0,3.0,0.0,0.0,2023
Cayman Islands,3.0,0.0,0.0,3.0,0.0,0.0,2023
Niger,2.0,0.0,0.0,2.0,0.0,0.0,2023
Saint Lucia,2.0,0.0,0.0,2.0,0.0,0.0,2023
Kuwait,2.0,0.0,2.0,0.2,0.0,0.0,2023
Bangladesh,2.0,0.6,0.0,1.0,0.0,0.0,2023
Bermuda,2.0,0.0,0.0,0.0,2.0,0.0,2023
Saudi Arabia,1.0,0.0,0.3,1.0,0.0,0.0,2023
Iraq,1.0,0.9,0.0,0.2,0.0,0.0,2023
Bahamas,1.0,0.0,0.0,1.0,0.0,0.0,2023
Hong Kong,1.0,0.0,0.0,0.5,0.4,0.0,2023
Algeria,0.9,0.02,0.02,0.9,0.0,0.0,2023
Botswana,0.4,0.0,0.0,0.4,0.0,0.0,2023
Qatar,0.3,0.0,0.0,0.02,0.2,0.0,2023
Bahrain,0.2,0.0,0.0,0.2,0.0,0.0,2023
Trinidad and Tobago,0.1,0.0,0.0,0.1,0.0,0.0,2023
Turkmenistan,0.03,0.03,0.0,0.0,0.0,0.0,2023
Libya,0.03,0.0,0.0,0.03,0.0,0.0,2023
American Samoa,0.0,0.0,0.0,0.0,0.0,0.0,2023
Brunei,0.0,0.0,0.0,0.0,0.0,0.0,2023
Comoros,0.0,0.0,0.0,0.0,0.0,0.0,2023
Falkland Islands,0.0,0.0,0.0,0.0,0.0,0.0,2023
Gambia,0.0,0.0,0.0,0.0,0.0,0.0,2023
Gibraltar,0.0,0.0,0.0,0.0,0.0,0.0,2023
Grenada,0.0,0.0,0.0,0.0,0.0,0.0,2023
Guinea-Bissau,0.0,0.0,0.0,0.0,0.0,0.0,2023
Montserrat,0.0,0.0,0.0,0.0,0.0,0.0,2023
Nauru,0.0,0.0,0.0,0.0,0.0,0.0,2023
"Saint Helena, Ascension and Tristan da Cunha",0.0,0.0,0.0,0.0,0.0,0.0,2023
Saint Pierre and Miquelon,0.0,0.0,0.0,0.0,0.0,0.0,2023
Timor-Leste,0.0,0.0,0.0,0.0,0.0,0.0,2023
Turks and Caicos Islands,0.0,0.0,0.0,0.0,0.0,0.0,2023
British Virgin Islands,0.0,0.0,0.0,0.0,0.0,0.0,2023
